time (s),net1 (V),net2 (V),net3 (V),net4 (V),net5 (V),net6 (V),net7 (V),net8 (V),net9 (V),net10 (V),net11 (V)
0.000,306.3E-6,16.80E-9,5.000,16.80E-9,16.80E-9,5.000,5.000,16.80E-9,5.000,16.80E-9,5.000
1.934E-12,71.03E-3,4.105E-3,5.000,18.13E-6,1.328E-6,5.000,5.001,65.00E-6,5.000,1.132E-3,5.009
3.602E-12,132.8E-3,7.509E-3,5.000,31.49E-6,2.237E-6,5.000,5.001,114.6E-6,5.000,2.043E-3,5.016
6.076E-12,225.4E-3,12.42E-3,5.000,49.00E-6,3.356E-6,5.000,5.002,181.4E-6,5.000,3.329E-3,5.026
11.02E-12,412.3E-3,21.25E-3,5.001,71.16E-6,4.385E-6,5.000,5.003,275.8E-6,5.000,5.477E-3,5.047
20.92E-12,788.3E-3,35.35E-3,5.001,80.75E-6,3.615E-6,5.000,5.004,349.7E-6,5.000,8.399E-3,5.083
39.41E-12,1.430,49.37E-3,5.001,26.61E-6,-1.269E-6,5.000,5.005,245.0E-6,5.000,9.023E-3,5.124
53.98E-12,1.903,54.01E-3,5.000,-86.79E-6,-4.341E-6,5.000,5.004,111.0E-6,5.000,2.382E-3,5.096
73.16E-12,2.477,55.49E-3,4.998,-225.8E-6,-4.866E-6,5.000,5.003,-35.99E-6,5.000,-13.75E-3,4.961
102.0E-12,3.198,55.34E-3,4.996,-335.1E-6,-1.857E-6,5.000,5.002,-122.0E-6,5.000,-47.40E-3,4.534
132.6E-12,3.776,54.75E-3,4.993,-357.0E-6,846.8E-9,5.000,5.001,-112.1E-6,5.000,-92.33E-3,3.742
166.2E-12,4.195,44.77E-3,4.999,486.1E-6,8.266E-6,5.000,5.000,-156.3E-6,5.000,-58.21E-3,2.575
194.8E-12,4.428,34.16E-3,5.019,2.112E-3,16.63E-6,5.000,4.999,-136.7E-6,5.000,139.1E-3,1.539
216.4E-12,4.537,25.69E-3,5.053,4.580E-3,28.94E-6,5.000,4.998,-112.9E-6,5.000,515.9E-3,928.3E-3
234.2E-12,4.612,20.93E-3,5.092,6.801E-3,31.42E-6,5.001,4.998,-67.00E-6,5.000,982.6E-3,579.2E-3
250.5E-12,4.677,18.19E-3,5.112,6.169E-3,-3.325E-6,5.000,4.998,-25.15E-6,5.000,1.435,379.1E-3
266.3E-12,4.734,16.13E-3,5.076,-380.6E-6,-93.03E-6,5.000,4.998,1.675E-6,5.000,1.893,258.1E-3
286.1E-12,4.796,13.80E-3,4.940,-15.18E-3,-202.8E-6,4.998,4.998,17.20E-6,5.000,2.449,168.5E-3
308.1E-12,4.850,11.31E-3,4.655,-37.70E-3,-279.8E-6,4.996,4.999,22.36E-6,5.000,3.005,114.8E-3
332.7E-12,4.896,8.766E-3,4.114,-75.95E-3,-390.9E-6,4.994,4.999,22.17E-6,5.000,3.522,86.80E-3
358.1E-12,4.929,6.446E-3,3.350,-98.47E-3,-167.3E-6,4.994,4.999,24.13E-6,5.000,3.925,68.56E-3
387.9E-12,4.954,4.314E-3,2.270,-22.81E-3,882.2E-6,5.004,4.999,31.67E-6,5.000,4.254,50.71E-3
