time (s),out (V),in (V)
0.000,5.000,0.000
100.0E-15,5.001,5.000E-3
200.0E-15,5.002,10.00E-3
300.0E-15,5.003,15.00E-3
400.0E-15,5.004,20.00E-3
500.0E-15,5.004,25.00E-3
600.0E-15,5.005,30.00E-3
700.0E-15,5.006,35.00E-3
800.0E-15,5.007,40.00E-3
900.0E-15,5.008,45.00E-3
1.000E-12,5.009,50.00E-3
1.100E-12,5.010,55.00E-3
1.200E-12,5.011,60.00E-3
1.300E-12,5.011,65.00E-3
1.400E-12,5.012,70.00E-3
1.500E-12,5.013,75.00E-3
1.600E-12,5.014,80.00E-3
1.700E-12,5.015,85.00E-3
1.800E-12,5.016,90.00E-3
1.900E-12,5.017,95.00E-3
2.000E-12,5.017,100.0E-3
2.100E-12,5.018,105.0E-3
2.200E-12,5.019,110.0E-3
2.300E-12,5.020,115.0E-3
2.400E-12,5.021,120.0E-3
2.500E-12,5.022,125.0E-3
2.600E-12,5.023,130.0E-3
2.700E-12,5.023,135.0E-3
2.800E-12,5.024,140.0E-3
2.900E-12,5.025,145.0E-3
3.000E-12,5.026,150.0E-3
3.100E-12,5.027,155.0E-3
3.200E-12,5.028,160.0E-3
3.300E-12,5.028,165.0E-3
3.400E-12,5.029,170.0E-3
3.500E-12,5.030,175.0E-3
3.600E-12,5.031,180.0E-3
3.700E-12,5.032,185.0E-3
3.800E-12,5.033,190.0E-3
3.900E-12,5.033,195.0E-3
4.000E-12,5.034,200.0E-3
4.100E-12,5.035,205.0E-3
4.200E-12,5.036,210.0E-3
4.300E-12,5.037,215.0E-3
4.400E-12,5.037,220.0E-3
4.500E-12,5.038,225.0E-3
4.600E-12,5.039,230.0E-3
4.700E-12,5.040,235.0E-3
4.800E-12,5.041,240.0E-3
4.900E-12,5.041,245.0E-3
5.000E-12,5.042,250.0E-3
5.100E-12,5.043,255.0E-3
5.200E-12,5.044,260.0E-3
5.300E-12,5.045,265.0E-3
5.400E-12,5.045,270.0E-3
5.500E-12,5.046,275.0E-3
5.600E-12,5.047,280.0E-3
5.700E-12,5.048,285.0E-3
5.800E-12,5.048,290.0E-3
5.900E-12,5.049,295.0E-3
6.000E-12,5.050,300.0E-3
6.100E-12,5.051,305.0E-3
6.200E-12,5.052,310.0E-3
6.300E-12,5.052,315.0E-3
6.400E-12,5.053,320.0E-3
6.500E-12,5.054,325.0E-3
6.600E-12,5.055,330.0E-3
6.700E-12,5.055,335.0E-3
6.800E-12,5.056,340.0E-3
6.900E-12,5.057,345.0E-3
7.000E-12,5.058,350.0E-3
7.100E-12,5.058,355.0E-3
7.200E-12,5.059,360.0E-3
7.300E-12,5.060,365.0E-3
7.400E-12,5.061,370.0E-3
7.500E-12,5.061,375.0E-3
7.600E-12,5.062,380.0E-3
7.700E-12,5.063,385.0E-3
7.800E-12,5.064,390.0E-3
7.900E-12,5.064,395.0E-3
8.000E-12,5.065,400.0E-3
8.100E-12,5.066,405.0E-3
8.200E-12,5.067,410.0E-3
8.300E-12,5.067,415.0E-3
8.400E-12,5.068,420.0E-3
8.500E-12,5.069,425.0E-3
8.600E-12,5.070,430.0E-3
8.700E-12,5.070,435.0E-3
8.800E-12,5.071,440.0E-3
8.900E-12,5.072,445.0E-3
9.000E-12,5.072,450.0E-3
9.100E-12,5.073,455.0E-3
9.200E-12,5.074,460.0E-3
9.300E-12,5.075,465.0E-3
9.400E-12,5.075,470.0E-3
9.500E-12,5.076,475.0E-3
9.600E-12,5.077,480.0E-3
9.700E-12,5.077,485.0E-3
9.800E-12,5.078,490.0E-3
9.900E-12,5.079,495.0E-3
10.00E-12,5.080,500.0E-3
10.10E-12,5.080,505.0E-3
10.20E-12,5.081,510.0E-3
10.30E-12,5.082,515.0E-3
10.40E-12,5.082,520.0E-3
10.50E-12,5.083,525.0E-3
10.60E-12,5.084,530.0E-3
10.70E-12,5.084,535.0E-3
10.80E-12,5.085,540.0E-3
10.90E-12,5.086,545.0E-3
11.00E-12,5.087,550.0E-3
11.10E-12,5.087,555.0E-3
11.20E-12,5.088,560.0E-3
11.30E-12,5.089,565.0E-3
11.40E-12,5.089,570.0E-3
11.50E-12,5.090,575.0E-3
11.60E-12,5.091,580.0E-3
11.70E-12,5.091,585.0E-3
11.80E-12,5.092,590.0E-3
11.90E-12,5.093,595.0E-3
12.00E-12,5.093,600.0E-3
12.10E-12,5.094,605.0E-3
12.20E-12,5.095,610.0E-3
12.30E-12,5.095,615.0E-3
12.40E-12,5.096,620.0E-3
12.50E-12,5.097,625.0E-3
12.60E-12,5.097,630.0E-3
12.70E-12,5.098,635.0E-3
12.80E-12,5.099,640.0E-3
12.90E-12,5.099,645.0E-3
13.00E-12,5.100,650.0E-3
13.10E-12,5.101,655.0E-3
13.20E-12,5.101,660.0E-3
13.30E-12,5.102,665.0E-3
13.40E-12,5.103,670.0E-3
13.50E-12,5.103,675.0E-3
13.60E-12,5.104,680.0E-3
13.70E-12,5.105,685.0E-3
13.80E-12,5.105,690.0E-3
13.90E-12,5.106,695.0E-3
14.00E-12,5.107,700.0E-3
14.10E-12,5.107,705.0E-3
14.20E-12,5.108,710.0E-3
14.30E-12,5.109,715.0E-3
14.40E-12,5.109,720.0E-3
14.50E-12,5.110,725.0E-3
14.60E-12,5.111,730.0E-3
14.70E-12,5.111,735.0E-3
14.80E-12,5.112,740.0E-3
14.90E-12,5.113,745.0E-3
15.00E-12,5.113,750.0E-3
15.10E-12,5.114,755.0E-3
15.20E-12,5.114,760.0E-3
15.30E-12,5.115,765.0E-3
15.40E-12,5.116,770.0E-3
15.50E-12,5.116,775.0E-3
15.60E-12,5.117,780.0E-3
15.70E-12,5.118,785.0E-3
15.80E-12,5.118,790.0E-3
15.90E-12,5.119,795.0E-3
16.00E-12,5.120,800.0E-3
16.10E-12,5.120,805.0E-3
16.20E-12,5.121,810.0E-3
16.30E-12,5.122,815.0E-3
16.40E-12,5.122,820.0E-3
16.50E-12,5.123,825.0E-3
16.60E-12,5.124,830.0E-3
16.70E-12,5.124,835.0E-3
16.80E-12,5.125,840.0E-3
16.90E-12,5.126,845.0E-3
17.00E-12,5.126,850.0E-3
17.10E-12,5.127,855.0E-3
17.20E-12,5.128,860.0E-3
17.30E-12,5.128,865.0E-3
17.40E-12,5.129,870.0E-3
17.50E-12,5.130,875.0E-3
17.60E-12,5.131,880.0E-3
17.70E-12,5.131,885.0E-3
17.80E-12,5.132,890.0E-3
17.90E-12,5.133,895.0E-3
18.00E-12,5.134,900.0E-3
18.10E-12,5.134,905.0E-3
18.20E-12,5.135,910.0E-3
18.30E-12,5.136,915.0E-3
18.40E-12,5.137,920.0E-3
18.50E-12,5.137,925.0E-3
18.60E-12,5.138,930.0E-3
18.70E-12,5.139,935.0E-3
18.80E-12,5.140,940.0E-3
18.90E-12,5.141,945.0E-3
19.00E-12,5.141,950.0E-3
19.10E-12,5.142,955.0E-3
19.20E-12,5.143,960.0E-3
19.30E-12,5.144,965.0E-3
19.40E-12,5.144,970.0E-3
19.50E-12,5.145,975.0E-3
19.60E-12,5.146,980.0E-3
19.70E-12,5.147,985.0E-3
19.80E-12,5.148,990.0E-3
19.90E-12,5.148,995.0E-3
20.00E-12,5.149,1.000
20.10E-12,5.150,1.005
20.20E-12,5.151,1.010
20.30E-12,5.151,1.015
20.40E-12,5.152,1.020
20.50E-12,5.153,1.025
20.60E-12,5.154,1.030
20.70E-12,5.154,1.035
20.80E-12,5.155,1.040
20.90E-12,5.156,1.045
21.00E-12,5.157,1.050
21.10E-12,5.157,1.055
21.20E-12,5.158,1.060
21.30E-12,5.159,1.065
21.40E-12,5.160,1.070
21.50E-12,5.160,1.075
21.60E-12,5.161,1.080
21.70E-12,5.162,1.085
21.80E-12,5.163,1.090
21.90E-12,5.163,1.095
22.00E-12,5.164,1.100
22.10E-12,5.165,1.105
22.20E-12,5.165,1.110
22.30E-12,5.166,1.115
22.40E-12,5.167,1.120
22.50E-12,5.167,1.125
22.60E-12,5.168,1.130
22.70E-12,5.169,1.135
22.80E-12,5.169,1.140
22.90E-12,5.170,1.145
23.00E-12,5.171,1.150
23.10E-12,5.171,1.155
23.20E-12,5.172,1.160
23.30E-12,5.172,1.165
23.40E-12,5.173,1.170
23.50E-12,5.174,1.175
23.60E-12,5.174,1.180
23.70E-12,5.175,1.185
23.80E-12,5.176,1.190
23.90E-12,5.176,1.195
24.00E-12,5.177,1.200
24.10E-12,5.177,1.205
24.20E-12,5.178,1.210
24.30E-12,5.178,1.215
24.40E-12,5.179,1.220
24.50E-12,5.180,1.225
24.60E-12,5.180,1.230
24.70E-12,5.181,1.235
24.80E-12,5.181,1.240
24.90E-12,5.182,1.245
25.00E-12,5.182,1.250
25.10E-12,5.183,1.255
25.20E-12,5.183,1.260
25.30E-12,5.184,1.265
25.40E-12,5.184,1.270
25.50E-12,5.185,1.275
25.60E-12,5.185,1.280
25.70E-12,5.186,1.285
25.80E-12,5.186,1.290
25.90E-12,5.187,1.295
26.00E-12,5.187,1.300
26.10E-12,5.188,1.305
26.20E-12,5.188,1.310
26.30E-12,5.188,1.315
26.40E-12,5.189,1.320
26.50E-12,5.189,1.325
26.60E-12,5.190,1.330
26.70E-12,5.190,1.335
26.80E-12,5.191,1.340
26.90E-12,5.191,1.345
27.00E-12,5.191,1.350
27.10E-12,5.192,1.355
27.20E-12,5.192,1.360
27.30E-12,5.192,1.365
27.40E-12,5.193,1.370
27.50E-12,5.193,1.375
27.60E-12,5.194,1.380
27.70E-12,5.194,1.385
27.80E-12,5.194,1.390
27.90E-12,5.195,1.395
28.00E-12,5.195,1.400
28.10E-12,5.195,1.405
28.20E-12,5.196,1.410
28.30E-12,5.196,1.415
28.40E-12,5.196,1.420
28.50E-12,5.197,1.425
28.60E-12,5.197,1.430
28.70E-12,5.197,1.435
28.80E-12,5.197,1.440
28.90E-12,5.198,1.445
29.00E-12,5.198,1.450
29.10E-12,5.198,1.455
29.20E-12,5.198,1.460
29.30E-12,5.199,1.465
29.40E-12,5.199,1.470
29.50E-12,5.199,1.475
29.60E-12,5.199,1.480
29.70E-12,5.200,1.485
29.80E-12,5.200,1.490
29.90E-12,5.200,1.495
30.00E-12,5.200,1.500
30.10E-12,5.200,1.505
30.20E-12,5.201,1.510
30.30E-12,5.201,1.515
30.40E-12,5.201,1.520
30.50E-12,5.201,1.525
30.60E-12,5.201,1.530
30.70E-12,5.201,1.535
30.80E-12,5.202,1.540
30.90E-12,5.202,1.545
31.00E-12,5.202,1.550
31.10E-12,5.202,1.555
31.20E-12,5.202,1.560
31.30E-12,5.202,1.565
31.40E-12,5.202,1.570
31.50E-12,5.202,1.575
31.60E-12,5.203,1.580
31.70E-12,5.203,1.585
31.80E-12,5.203,1.590
31.90E-12,5.203,1.595
32.00E-12,5.203,1.600
32.10E-12,5.203,1.605
32.20E-12,5.203,1.610
32.30E-12,5.203,1.615
32.40E-12,5.203,1.620
32.50E-12,5.203,1.625
32.60E-12,5.203,1.630
32.70E-12,5.203,1.635
32.80E-12,5.203,1.640
32.90E-12,5.203,1.645
33.00E-12,5.203,1.650
33.10E-12,5.203,1.655
33.20E-12,5.203,1.660
33.30E-12,5.203,1.665
33.40E-12,5.203,1.670
33.50E-12,5.203,1.675
33.60E-12,5.203,1.680
33.70E-12,5.203,1.685
33.80E-12,5.203,1.690
33.90E-12,5.203,1.695
34.00E-12,5.203,1.700
34.10E-12,5.203,1.705
34.20E-12,5.203,1.710
34.30E-12,5.203,1.715
34.40E-12,5.203,1.720
34.50E-12,5.203,1.725
34.60E-12,5.202,1.730
34.70E-12,5.202,1.735
34.80E-12,5.202,1.740
34.90E-12,5.202,1.745
35.00E-12,5.202,1.750
35.10E-12,5.202,1.755
35.20E-12,5.202,1.760
35.30E-12,5.202,1.765
35.40E-12,5.201,1.770
35.50E-12,5.201,1.775
35.60E-12,5.201,1.780
35.70E-12,5.201,1.785
35.80E-12,5.201,1.790
35.90E-12,5.200,1.795
36.00E-12,5.200,1.800
36.10E-12,5.200,1.805
36.20E-12,5.200,1.810
36.30E-12,5.200,1.815
36.40E-12,5.199,1.820
36.50E-12,5.199,1.825
36.60E-12,5.199,1.830
36.70E-12,5.199,1.835
36.80E-12,5.198,1.840
36.90E-12,5.198,1.845
37.00E-12,5.198,1.850
37.10E-12,5.198,1.855
37.20E-12,5.197,1.860
37.30E-12,5.197,1.865
37.40E-12,5.197,1.870
37.50E-12,5.197,1.875
37.60E-12,5.196,1.880
37.70E-12,5.196,1.885
37.80E-12,5.196,1.890
37.90E-12,5.195,1.895
38.00E-12,5.195,1.900
38.10E-12,5.195,1.905
38.20E-12,5.194,1.910
38.30E-12,5.194,1.915
38.40E-12,5.194,1.920
38.50E-12,5.193,1.925
38.60E-12,5.193,1.930
38.70E-12,5.192,1.935
38.80E-12,5.192,1.940
38.90E-12,5.192,1.945
39.00E-12,5.191,1.950
39.10E-12,5.191,1.955
39.20E-12,5.190,1.960
39.30E-12,5.190,1.965
39.40E-12,5.190,1.970
39.50E-12,5.189,1.975
39.60E-12,5.189,1.980
39.70E-12,5.188,1.985
39.80E-12,5.188,1.990
39.90E-12,5.187,1.995
40.00E-12,5.187,2.000
40.10E-12,5.186,2.005
40.20E-12,5.186,2.010
40.30E-12,5.185,2.015
40.40E-12,5.185,2.020
40.50E-12,5.184,2.025
40.60E-12,5.184,2.030
40.70E-12,5.183,2.035
40.80E-12,5.183,2.040
40.90E-12,5.182,2.045
41.00E-12,5.182,2.050
41.10E-12,5.181,2.055
41.20E-12,5.181,2.060
41.30E-12,5.180,2.065
41.40E-12,5.180,2.070
41.50E-12,5.179,2.075
41.60E-12,5.178,2.080
41.70E-12,5.178,2.085
41.80E-12,5.177,2.090
41.90E-12,5.177,2.095
42.00E-12,5.176,2.100
42.10E-12,5.176,2.105
42.20E-12,5.175,2.110
42.30E-12,5.174,2.115
42.40E-12,5.174,2.120
42.50E-12,5.173,2.125
42.60E-12,5.172,2.130
42.70E-12,5.172,2.135
42.80E-12,5.171,2.140
42.90E-12,5.170,2.145
43.00E-12,5.170,2.150
43.10E-12,5.169,2.155
43.20E-12,5.168,2.160
43.30E-12,5.168,2.165
43.40E-12,5.167,2.170
43.50E-12,5.166,2.175
43.60E-12,5.166,2.180
43.70E-12,5.165,2.185
43.80E-12,5.164,2.190
43.90E-12,5.163,2.195
44.00E-12,5.163,2.200
44.10E-12,5.162,2.205
44.20E-12,5.161,2.210
44.30E-12,5.160,2.215
44.40E-12,5.160,2.220
44.50E-12,5.159,2.225
44.60E-12,5.158,2.230
44.70E-12,5.157,2.235
44.80E-12,5.156,2.240
44.90E-12,5.156,2.245
45.00E-12,5.155,2.250
45.10E-12,5.154,2.255
45.20E-12,5.153,2.260
45.30E-12,5.152,2.265
45.40E-12,5.152,2.270
45.50E-12,5.151,2.275
45.60E-12,5.150,2.280
45.70E-12,5.149,2.285
45.80E-12,5.148,2.290
45.90E-12,5.147,2.295
46.00E-12,5.146,2.300
46.10E-12,5.145,2.305
46.20E-12,5.145,2.310
46.30E-12,5.144,2.315
46.40E-12,5.143,2.320
46.50E-12,5.142,2.325
46.60E-12,5.141,2.330
46.70E-12,5.140,2.335
46.80E-12,5.139,2.340
46.90E-12,5.138,2.345
47.00E-12,5.137,2.350
47.10E-12,5.136,2.355
47.20E-12,5.135,2.360
47.30E-12,5.134,2.365
47.40E-12,5.133,2.370
47.50E-12,5.132,2.375
47.60E-12,5.131,2.380
47.70E-12,5.130,2.385
47.80E-12,5.129,2.390
47.90E-12,5.128,2.395
48.00E-12,5.127,2.400
48.10E-12,5.126,2.405
48.20E-12,5.125,2.410
48.30E-12,5.124,2.415
48.40E-12,5.123,2.420
48.50E-12,5.122,2.425
48.60E-12,5.121,2.430
48.70E-12,5.120,2.435
48.80E-12,5.119,2.440
48.90E-12,5.118,2.445
49.00E-12,5.117,2.450
49.10E-12,5.116,2.455
49.20E-12,5.114,2.460
49.30E-12,5.113,2.465
49.40E-12,5.112,2.470
49.50E-12,5.111,2.475
49.60E-12,5.110,2.480
49.70E-12,5.109,2.485
49.80E-12,5.108,2.490
49.90E-12,5.107,2.495
50.00E-12,5.105,2.500
50.10E-12,5.104,2.505
50.20E-12,5.103,2.510
50.30E-12,5.102,2.515
50.40E-12,5.101,2.520
50.50E-12,5.099,2.525
50.60E-12,5.098,2.530
50.70E-12,5.097,2.535
50.80E-12,5.096,2.540
50.90E-12,5.095,2.545
51.00E-12,5.093,2.550
51.10E-12,5.092,2.555
51.20E-12,5.091,2.560
51.30E-12,5.090,2.565
51.40E-12,5.088,2.570
51.50E-12,5.087,2.575
51.60E-12,5.086,2.580
51.70E-12,5.084,2.585
51.80E-12,5.083,2.590
51.90E-12,5.082,2.595
52.00E-12,5.081,2.600
52.10E-12,5.079,2.605
52.20E-12,5.078,2.610
52.30E-12,5.077,2.615
52.40E-12,5.075,2.620
52.50E-12,5.074,2.625
52.60E-12,5.073,2.630
52.70E-12,5.071,2.635
52.80E-12,5.070,2.640
52.90E-12,5.068,2.645
53.00E-12,5.067,2.650
53.10E-12,5.066,2.655
53.20E-12,5.064,2.660
53.30E-12,5.063,2.665
53.40E-12,5.061,2.670
53.50E-12,5.060,2.675
53.60E-12,5.059,2.680
53.70E-12,5.057,2.685
53.80E-12,5.056,2.690
53.90E-12,5.054,2.695
54.00E-12,5.053,2.700
54.10E-12,5.051,2.705
54.20E-12,5.050,2.710
54.30E-12,5.048,2.715
54.40E-12,5.047,2.720
54.50E-12,5.045,2.725
54.60E-12,5.044,2.730
54.70E-12,5.042,2.735
54.80E-12,5.041,2.740
54.90E-12,5.039,2.745
55.00E-12,5.038,2.750
55.10E-12,5.036,2.755
55.20E-12,5.035,2.760
55.30E-12,5.033,2.765
55.40E-12,5.032,2.770
55.50E-12,5.030,2.775
55.60E-12,5.028,2.780
55.70E-12,5.027,2.785
55.80E-12,5.025,2.790
55.90E-12,5.024,2.795
56.00E-12,5.022,2.800
56.10E-12,5.020,2.805
56.20E-12,5.019,2.810
56.30E-12,5.017,2.815
56.40E-12,5.015,2.820
56.50E-12,5.014,2.825
56.60E-12,5.012,2.830
56.70E-12,5.011,2.835
56.80E-12,5.009,2.840
56.90E-12,5.007,2.845
57.00E-12,5.005,2.850
57.10E-12,5.004,2.855
57.20E-12,5.002,2.860
57.30E-12,5.000,2.865
57.40E-12,4.999,2.870
57.50E-12,4.997,2.875
57.60E-12,4.995,2.880
57.70E-12,4.994,2.885
57.80E-12,4.992,2.890
57.90E-12,4.990,2.895
58.00E-12,4.988,2.900
58.10E-12,4.987,2.905
58.20E-12,4.985,2.910
58.30E-12,4.983,2.915
58.40E-12,4.982,2.920
58.50E-12,4.980,2.925
58.60E-12,4.978,2.930
58.70E-12,4.976,2.935
58.80E-12,4.974,2.940
58.90E-12,4.973,2.945
59.00E-12,4.971,2.950
59.10E-12,4.969,2.955
59.20E-12,4.967,2.960
59.30E-12,4.965,2.965
59.40E-12,4.964,2.970
59.50E-12,4.962,2.975
59.60E-12,4.960,2.980
59.70E-12,4.958,2.985
59.80E-12,4.956,2.990
59.90E-12,4.954,2.995
60.00E-12,4.952,3.000
60.10E-12,4.951,3.005
60.20E-12,4.949,3.010
60.30E-12,4.947,3.015
60.40E-12,4.945,3.020
60.50E-12,4.943,3.025
60.60E-12,4.941,3.030
60.70E-12,4.939,3.035
60.80E-12,4.937,3.040
60.90E-12,4.935,3.045
61.00E-12,4.933,3.050
61.10E-12,4.931,3.055
61.20E-12,4.929,3.060
61.30E-12,4.927,3.065
61.40E-12,4.925,3.070
61.50E-12,4.923,3.075
61.60E-12,4.921,3.080
61.70E-12,4.919,3.085
61.80E-12,4.917,3.090
61.90E-12,4.915,3.095
62.00E-12,4.913,3.100
62.10E-12,4.911,3.105
62.20E-12,4.909,3.110
62.30E-12,4.907,3.115
62.40E-12,4.905,3.120
62.50E-12,4.902,3.125
62.60E-12,4.900,3.130
62.70E-12,4.898,3.135
62.80E-12,4.896,3.140
62.90E-12,4.894,3.145
63.00E-12,4.892,3.150
63.10E-12,4.890,3.155
63.20E-12,4.887,3.160
63.30E-12,4.885,3.165
63.40E-12,4.883,3.170
63.50E-12,4.881,3.175
63.60E-12,4.879,3.180
63.70E-12,4.876,3.185
63.80E-12,4.874,3.190
63.90E-12,4.872,3.195
64.00E-12,4.870,3.200
64.10E-12,4.867,3.205
64.20E-12,4.865,3.210
64.30E-12,4.863,3.215
64.40E-12,4.861,3.220
64.50E-12,4.858,3.225
64.60E-12,4.856,3.230
64.70E-12,4.854,3.235
64.80E-12,4.851,3.240
64.90E-12,4.849,3.245
65.00E-12,4.846,3.250
65.10E-12,4.844,3.255
65.20E-12,4.842,3.260
65.30E-12,4.839,3.265
65.40E-12,4.837,3.270
65.50E-12,4.834,3.275
65.60E-12,4.832,3.280
65.70E-12,4.830,3.285
65.80E-12,4.827,3.290
65.90E-12,4.825,3.295
66.00E-12,4.822,3.300
66.10E-12,4.820,3.305
66.20E-12,4.817,3.310
66.30E-12,4.815,3.315
66.40E-12,4.812,3.320
66.50E-12,4.810,3.325
66.60E-12,4.807,3.330
66.70E-12,4.804,3.335
66.80E-12,4.802,3.340
66.90E-12,4.799,3.345
67.00E-12,4.797,3.350
67.10E-12,4.794,3.355
67.20E-12,4.791,3.360
67.30E-12,4.789,3.365
67.40E-12,4.786,3.370
67.50E-12,4.783,3.375
67.60E-12,4.781,3.380
67.70E-12,4.778,3.385
67.80E-12,4.775,3.390
67.90E-12,4.772,3.395
68.00E-12,4.770,3.400
68.10E-12,4.767,3.405
68.20E-12,4.764,3.410
68.30E-12,4.761,3.415
68.40E-12,4.758,3.420
68.50E-12,4.756,3.425
68.60E-12,4.753,3.430
68.70E-12,4.750,3.435
68.80E-12,4.747,3.440
68.90E-12,4.744,3.445
69.00E-12,4.741,3.450
69.10E-12,4.738,3.455
69.20E-12,4.735,3.460
69.30E-12,4.732,3.465
69.40E-12,4.729,3.470
69.50E-12,4.726,3.475
69.60E-12,4.723,3.480
69.70E-12,4.720,3.485
69.80E-12,4.717,3.490
69.90E-12,4.714,3.495
70.00E-12,4.710,3.500
70.10E-12,4.707,3.505
70.20E-12,4.704,3.510
70.30E-12,4.701,3.515
70.40E-12,4.698,3.520
70.50E-12,4.694,3.525
70.60E-12,4.691,3.530
70.70E-12,4.688,3.535
70.80E-12,4.684,3.540
70.90E-12,4.681,3.545
71.00E-12,4.678,3.550
71.10E-12,4.674,3.555
71.20E-12,4.671,3.560
71.30E-12,4.667,3.565
71.40E-12,4.664,3.570
71.50E-12,4.660,3.575
71.60E-12,4.657,3.580
71.70E-12,4.653,3.585
71.80E-12,4.650,3.590
71.90E-12,4.646,3.595
72.00E-12,4.643,3.600
72.10E-12,4.639,3.605
72.20E-12,4.635,3.610
72.30E-12,4.632,3.615
72.40E-12,4.628,3.620
72.50E-12,4.624,3.625
72.60E-12,4.621,3.630
72.70E-12,4.617,3.635
72.80E-12,4.613,3.640
72.90E-12,4.609,3.645
73.00E-12,4.606,3.650
73.10E-12,4.602,3.655
73.20E-12,4.598,3.660
73.30E-12,4.594,3.665
73.40E-12,4.590,3.670
73.50E-12,4.587,3.675
73.60E-12,4.583,3.680
73.70E-12,4.579,3.685
73.80E-12,4.575,3.690
73.90E-12,4.571,3.695
74.00E-12,4.567,3.700
74.10E-12,4.563,3.705
74.20E-12,4.559,3.710
74.30E-12,4.555,3.715
74.40E-12,4.551,3.720
74.50E-12,4.547,3.725
74.60E-12,4.543,3.730
74.70E-12,4.539,3.735
74.80E-12,4.535,3.740
74.90E-12,4.531,3.745
75.00E-12,4.527,3.750
75.10E-12,4.523,3.755
75.20E-12,4.519,3.760
75.30E-12,4.514,3.765
75.40E-12,4.510,3.770
75.50E-12,4.506,3.775
75.60E-12,4.502,3.780
75.70E-12,4.498,3.785
75.80E-12,4.493,3.790
75.90E-12,4.489,3.795
76.00E-12,4.485,3.800
76.10E-12,4.481,3.805
76.20E-12,4.476,3.810
76.30E-12,4.472,3.815
76.40E-12,4.468,3.820
76.50E-12,4.464,3.825
76.60E-12,4.459,3.830
76.70E-12,4.455,3.835
76.80E-12,4.450,3.840
76.90E-12,4.446,3.845
77.00E-12,4.442,3.850
77.10E-12,4.437,3.855
77.20E-12,4.433,3.860
77.30E-12,4.428,3.865
77.40E-12,4.424,3.870
77.50E-12,4.419,3.875
77.60E-12,4.415,3.880
77.70E-12,4.410,3.885
77.80E-12,4.406,3.890
77.90E-12,4.401,3.895
78.00E-12,4.397,3.900
78.10E-12,4.392,3.905
78.20E-12,4.388,3.910
78.30E-12,4.383,3.915
78.40E-12,4.378,3.920
78.50E-12,4.374,3.925
78.60E-12,4.369,3.930
78.70E-12,4.364,3.935
78.80E-12,4.360,3.940
78.90E-12,4.355,3.945
79.00E-12,4.350,3.950
79.10E-12,4.346,3.955
79.20E-12,4.341,3.960
79.30E-12,4.336,3.965
79.40E-12,4.331,3.970
79.50E-12,4.327,3.975
79.60E-12,4.322,3.980
79.70E-12,4.317,3.985
79.80E-12,4.312,3.990
79.90E-12,4.307,3.995
80.00E-12,4.302,4.000
80.10E-12,4.297,4.005
80.20E-12,4.293,4.010
80.30E-12,4.288,4.015
80.40E-12,4.283,4.020
80.50E-12,4.278,4.025
80.60E-12,4.273,4.030
80.70E-12,4.268,4.035
80.80E-12,4.263,4.040
80.90E-12,4.258,4.045
81.00E-12,4.253,4.050
81.10E-12,4.248,4.055
81.20E-12,4.243,4.060
81.30E-12,4.237,4.065
81.40E-12,4.232,4.070
81.50E-12,4.227,4.075
81.60E-12,4.222,4.080
81.70E-12,4.217,4.085
81.80E-12,4.212,4.090
81.90E-12,4.206,4.095
82.00E-12,4.201,4.100
82.10E-12,4.196,4.105
82.20E-12,4.191,4.110
82.30E-12,4.185,4.115
82.40E-12,4.180,4.120
82.50E-12,4.175,4.125
82.60E-12,4.169,4.130
82.70E-12,4.164,4.135
82.80E-12,4.159,4.140
82.90E-12,4.153,4.145
83.00E-12,4.148,4.150
83.10E-12,4.142,4.155
83.20E-12,4.137,4.160
83.30E-12,4.131,4.165
83.40E-12,4.126,4.170
83.50E-12,4.120,4.175
83.60E-12,4.114,4.180
83.70E-12,4.109,4.185
83.80E-12,4.103,4.190
83.90E-12,4.098,4.195
84.00E-12,4.092,4.200
84.10E-12,4.086,4.205
84.20E-12,4.081,4.210
84.30E-12,4.075,4.215
84.40E-12,4.069,4.220
84.50E-12,4.063,4.225
84.60E-12,4.058,4.230
84.70E-12,4.052,4.235
84.80E-12,4.046,4.240
84.90E-12,4.040,4.245
85.00E-12,4.034,4.250
85.10E-12,4.029,4.255
85.20E-12,4.023,4.260
85.30E-12,4.017,4.265
85.40E-12,4.011,4.270
85.50E-12,4.005,4.275
85.60E-12,3.999,4.280
85.70E-12,3.993,4.285
85.80E-12,3.987,4.290
85.90E-12,3.981,4.295
86.00E-12,3.975,4.300
86.10E-12,3.969,4.305
86.20E-12,3.963,4.310
86.30E-12,3.957,4.315
86.40E-12,3.951,4.320
86.50E-12,3.945,4.325
86.60E-12,3.939,4.330
86.70E-12,3.933,4.335
86.80E-12,3.927,4.340
86.90E-12,3.921,4.345
87.00E-12,3.915,4.350
87.10E-12,3.909,4.355
87.20E-12,3.902,4.360
87.30E-12,3.896,4.365
87.40E-12,3.890,4.370
87.50E-12,3.884,4.375
87.60E-12,3.878,4.380
87.70E-12,3.871,4.385
87.80E-12,3.865,4.390
87.90E-12,3.859,4.395
88.00E-12,3.853,4.400
88.10E-12,3.846,4.405
88.20E-12,3.840,4.410
88.30E-12,3.834,4.415
88.40E-12,3.827,4.420
88.50E-12,3.821,4.425
88.60E-12,3.815,4.430
88.70E-12,3.808,4.435
88.80E-12,3.802,4.440
88.90E-12,3.795,4.445
89.00E-12,3.789,4.450
89.10E-12,3.783,4.455
